year_month,wfp_food_index,log_ret,z_ret,flagged
2019-09-01,96.22128147044931,-0.038519631675669644,-0.3012820801955787,False
2019-10-01,109.54756038359267,0.1297082420478838,0.5076001495125231,False
2019-11-01,97.24455833695187,-0.11912977083140573,-0.6888760481519304,False
2019-12-01,89.27580413966436,-0.08549852464382021,-0.5271684975424532,False
2020-01-01,86.97613043218186,-0.0260967827233522,-0.24154987567167052,False
2020-02-01,199.80212009772507,0.8316937590961535,3.882924331436714,True
2020-03-01,114.60699041804857,-0.5558186764252782,-2.788586921428615,True
2020-04-01,212.97850991285193,0.6196824673589137,2.8635203373903764,True
2020-05-01,222.58240893325794,0.04410614207018971,0.09600356943901218,False
2020-06-01,225.55910791618885,0.013284833696005168,-0.052193088394277894,False
2020-07-01,200.78470476919043,-0.11634903050950605,-0.6755055443107318,False
2020-08-01,189.4522251648538,-0.058096330658780726,-0.39541180776857926,False
2020-09-01,190.12503346196004,0.00354504378980661,-0.09902446539402959,False
2020-10-01,117.12661648287602,-0.4844263847679552,-2.445314699165122,False
2020-11-01,113.87002547225264,-0.028197871292883054,-0.2516524417287625,False
2020-12-01,132.20332468691458,0.1492834055006236,0.6017224938665421,False
2021-01-01,125.3755397643828,-0.05302752454672045,-0.3710397040313653,False
2021-02-01,151.3785095445782,0.18846983457202818,0.7901407709331814,False
2021-03-01,141.77802767151843,-0.06552073690395607,-0.4311102336294737,False
2021-04-01,170.61471428754086,0.18514523241792608,0.7741552416402082,False
2021-05-01,160.02219585251325,-0.0640953518675548,-0.4242566213182851,False
2021-06-01,154.8310645355171,-0.03297791337366817,-0.2746360948584321,False
2021-07-01,191.59430727521945,0.2130455372710879,0.9083069746416434,False
2021-08-01,195.37375454936299,0.019534260465795164,-0.02214426147839993,False
2021-09-01,174.27362138345893,-0.11428781329399484,-0.6655946898233522,False
2021-10-01,167.60258978645786,-0.03903096064485805,-0.3037406794012676,False
2021-11-01,169.54053968816135,0.011496430309833947,-0.06079218488527253,False
2021-12-01,158.1905036846326,-0.06929204417101402,-0.4492436342578685,False
2022-01-01,186.6249143610752,0.16530077072294444,0.6787380431230854,False
2022-02-01,186.68097311554754,0.0003003368378283518,-0.11462583831739245,False
2022-03-01,200.22740131947108,0.07005259342824716,0.22076067991647672,False
2022-04-01,217.48764337731018,0.08268830961358724,0.28151640401694505,False
2022-05-01,228.37438635374102,0.04884429082649849,0.11878578885284004,False
2022-06-01,209.76704584360274,-0.08498871820696637,-0.5247172190578928,False
2022-07-01,209.27099975445608,-0.0023675478924364665,-0.12745370388720298,False
2022-08-01,226.45852916663074,0.07893177238861665,0.2634540214922216,False
2022-09-01,234.7083555257594,0.03578186912773179,0.05597835655747144,False
2022-10-01,196.70403833191773,-0.17664344750432898,-0.9654163740574556,False
2022-11-01,240.47737867595524,0.2009257699668566,0.8500320634536208,False
2022-12-01,261.15698280946395,0.0824956676545193,0.2805901326807081,False
2023-01-01,262.5432194776153,0.005294020891065545,-0.09061494046774107,False
2023-02-01,295.955531069698,0.11979349605724487,0.4599275393416521,False
2023-03-01,292.67237405268054,-0.011155404069517375,-0.16970794238844183,False
2023-04-01,316.11181241945826,0.07704218167606981,0.25436839070482725,False
2023-05-01,340.04737051021164,0.07298894516352812,0.234879402850254,False
2023-06-01,312.0452528476629,-0.08593671446497647,-0.5292754251979422,False
2023-07-01,310.98275805547735,-0.0034107481641580677,-0.1324696750407641,False
