year_month,arimax_norm,boost_norm,blend_norm,xgb_norm,rf_norm,prophet_norm,naive_norm
2023-08-01,98.92128927314306,93.23420645797718,100.85304954163539,102.09643218981637,102.13064865811705,183.77838747585054,100.0
2023-09-01,96.05457081847526,89.73227651382459,98.27232666019859,96.78292202664741,99.50484152583276,86.26895899963957,100.0
2023-10-01,81.68026435398582,77.0434334300206,95.66277950731894,93.40300869219607,102.74051605243983,89.99025820088194,100.0
2023-11-01,88.40770323464999,82.72062041948412,96.34168075139776,93.53213684290633,101.88131273776784,89.07596555834395,100.0
2023-12-01,86.91711332683008,81.2300305116642,94.80518830725939,89.86972085644447,105.68586999826064,58.74930190648331,100.0
2024-01-01,86.54261718787257,80.92266977791816,96.80971986483353,94.8744060168935,104.32882167964436,133.5372064546933,100.0
2024-02-01,93.82263570656944,87.81244939295927,97.27463311388685,94.24654195747597,108.95599969291581,89.14620943732625,100.0
2024-03-01,95.58598019350556,90.13674253507499,98.94477883332954,98.22785397995561,107.58791781749136,70.03063686601718,100.0
2024-04-01,104.81857156376348,101.09055238701184,100.26902893116055,99.47122462070045,118.24825079488906,160.4008706201841,100.0
2024-05-01,107.01163018848521,102.54977225344044,99.42871925125165,96.35056899818831,118.12176573203708,163.28044259023778,100.0
2024-06-01,100.3776309652358,96.31228543036447,98.79739228462094,96.2459980447287,120.37823003691572,137.26981815122477,100.0
2024-07-01,99.81267607587644,94.14793316063287,99.36155662530281,98.05839150750356,119.82115395835957,87.11082277033809,100.0
2024-08-01,99.17518103899684,93.48809822383096,97.96455275901488,93.6713805209644,123.67606740255546,86.7612122117277,100.0
2024-09-01,96.92094411209402,90.59864980744334,99.0317105195975,97.80937819555764,122.50599445154491,112.98134477884348,100.0
2024-10-01,83.84706888652762,79.2102379625624,94.88941407125675,88.07170714137975,125.45580419918613,100.57229892605912,100.0
2024-11-01,90.19036209781156,84.50327928264568,95.98923808504931,89.27383124270463,123.92126781113852,144.73279849039275,100.0
2024-12-01,88.71517900086135,83.02809618569547,94.19205074595185,82.80112251256946,128.85083255702415,125.79297931474798,100.0
2025-01-01,88.59819989198735,82.97825248203293,95.31710635069527,86.62993715427493,128.79153784962338,88.72340821149558,100.0
2025-02-01,95.37586089158415,89.36567457797396,95.31031530348764,83.16190893712357,131.36308393324416,108.79766264986723,100.0
2025-03-01,94.74856939481656,89.299331736386,96.27090052087442,86.84704271402856,128.98400902164445,82.41268795150981,100.0
2025-04-01,100.91759261281152,97.1895734360599,96.88496555665994,86.0186294125929,139.5822632391506,118.36952888121259,100.0
2025-05-01,103.51355256274137,99.0516946276966,98.25854461458835,90.3316132727635,139.6499555876958,157.4494045273488,100.0
2025-06-01,97.70725290993954,93.64190737506823,96.87553190168579,86.56438334457143,141.63033787881517,177.88902716986217,100.0
2025-07-01,98.14130345163318,92.47656053638961,98.4643384258516,93.55189747460547,140.82451147623638,209.74223547553402,100.0
2025-08-01,98.17568098088492,92.48859816571904,98.04272179632908,91.13562069901229,145.07656993689187,225.43891620030917,100.0
2025-09-01,94.64410595542599,88.32181165077532,98.216891287938,93.91838489381273,144.74542888037482,150.29708837672771,100.0
2025-10-01,80.43752405020005,76.3645608801284,94.53982154109295,82.78676451654995,146.45981295871042,144.608971129773,100.0
2025-11-01,84.70701979603595,79.58380473476363,95.3187919980245,83.70101724310761,144.4877973025559,159.87072516957102,100.0
2025-12-01,84.4514988401063,80.32083281012498,94.21038474694726,76.6528704327477,148.9748909760764,123.62346525761882,100.0
2026-01-01,85.57530198001487,80.51922232395401,95.02965278272065,80.0083448750732,149.06186598020662,169.38094032198762,100.0
2026-02-01,91.60440133336303,86.1580827736464,95.28285385231851,76.03258656922411,151.57764062319194,151.05810739042255,100.0
2026-03-01,91.30410602971997,86.41873612518296,95.86114293518116,79.23035051791688,148.98041832560511,177.1246627027026,100.0
2026-04-01,98.90048216832913,95.73633074547105,96.72186796148807,77.7233120821214,159.3470764976781,180.5088488486294,100.0
2026-05-01,100.93424076672295,98.02879961686276,97.62549339964951,81.53919041448623,159.324265963149,131.68288040421334,100.0
