year_month,actual,Naive,ARIMAX,XGBoost,RF,DynBlend
2021-01-01,125.3755397643828,132.20332468691458,132.20332468691458,133.20490564233984,136.9235801694089,133.63378379639448
2021-02-01,151.3785095445782,125.3755397643828,125.3755397643828,115.3377285285106,123.65612444088755,122.43623312454093
2021-03-01,141.77802767151843,151.3785095445782,151.3785095445782,168.64172835382152,153.31258545752337,156.1778332251253
2021-04-01,170.61471428754086,141.77802767151843,141.77802767151843,130.22633673391275,138.23874376432167,139.47885823415714
2021-05-01,160.02219585251325,170.61471428754086,170.61471428754086,159.08346727183823,175.91134433975367,170.3281026831966
2021-06-01,154.8310645355171,160.02219585251325,160.02219585251325,159.05749465171715,164.11261541543635,160.8352216583888
2021-07-01,191.59430727521945,154.8310645355171,154.8310645355171,156.0277558532335,155.07093440176286,155.06412021301225
2021-08-01,195.37375454936299,191.59430727521945,191.59430727521945,208.53808126125926,186.8785150975571,193.4873067700765
2021-09-01,174.27362138345893,195.37375454936299,195.37375454936299,201.27436237363347,197.52989765126514,196.97465571956002
2021-10-01,167.60258978645786,174.27362138345893,174.27362138345893,172.97014074684745,174.83521312394168,174.13854914629536
2021-11-01,169.54053968816135,167.60258978645786,167.60258978645786,167.23701930448195,166.59857822089046,167.28668283722862
2021-12-01,158.1905036846326,169.54053968816135,169.54053968816135,169.73889609569315,169.1164362670375,169.48363783997033
2022-01-01,186.6249143610752,158.1905036846326,158.1905036846326,154.81076043310304,156.29465641315346,156.9624015949458
2022-02-01,186.68097311554754,186.6249143610752,186.6249143610752,192.7359842015642,191.83350723893454,189.06584970417796
2022-03-01,200.22740131947108,186.68097311554754,186.68097311554754,179.5057081989777,180.27184089811195,183.68211005553923
2022-04-01,217.48764337731018,200.22740131947108,200.22740131947108,195.6710906400337,194.64322173744372,198.06528238444594
2022-05-01,228.37438635374102,217.48764337731018,217.48764337731018,224.3530226072106,220.0685176339607,219.4055101444522
2022-06-01,209.76704584360274,228.37438635374102,228.37438635374102,234.79797909272392,229.2913327301603,229.92088596208248
2022-07-01,209.27099975445608,209.76704584360274,209.76704584360274,197.41814650857202,196.6508277070719,204.44290687503408
2022-08-01,226.45852916663074,209.27099975445608,209.27099975445608,211.4426769033084,205.93024983777363,209.00474151133815
2022-09-01,234.7083555257594,226.45852916663074,226.45852916663074,218.95587282147002,224.378533546762,224.57387141902427
2022-10-01,196.70403833191773,234.7083555257594,234.7083555257594,227.6010404572953,232.49299043273768,232.86872432746065
2022-11-01,240.47737867595524,196.70403833191773,196.70403833191773,192.50325652648633,192.6825666377898,194.6633106198097
2022-12-01,261.15698280946395,240.47737867595524,240.47737867595524,230.75848277819622,235.1254460411544,236.90973071248052
2023-01-01,262.5432194776153,261.15698280946395,261.15698280946395,238.39406032371474,251.6311091099277,253.6776287066749
2023-02-01,295.955531069698,262.5432194776153,262.5432194776153,285.12742901926555,272.1756410094249,269.7067773528305
2023-03-01,292.67237405268054,295.955531069698,295.955531069698,324.71621178283823,319.943190092264,308.99187765697945
2023-04-01,316.11181241945826,292.67237405268054,292.67237405268054,293.95245380863753,300.89139145467743,294.88673467435405
2023-05-01,340.04737051021164,316.11181241945826,316.11181241945826,314.8698576078029,325.558970047376,318.1355289552318
2023-06-01,312.0452528476629,340.04737051021164,340.04737051021164,355.0527684435192,356.309208805016,347.4248173984711
2023-07-01,310.98275805547735,312.0452528476629,312.0452528476629,305.76202487567656,313.0159916964019,311.08929087630895
